iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,effort,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,0.8112339973449707,-12.15746204294754,2.3877079216517654,-9.372875086556423,-15.948803687154363,0.0,0.09576284621470926,0.1,0.04306983947753906,0.043287038803100586,0.050102968,1.6864,-12.15746204294754,-0.12282138824673174,-0.053231441226501086,0.0,0.06027058206989448,70,0.004653453826904297,0.9929244457886458,0.9929244457886458,70,-17.223451361357874,0.0
1,0.7301366329193115,-13.825935429207552,3.5485373503100552,-9.69716583456898,-19.45121715713552,0.0,0.13742175704735277,0.1,0.001926422119140625,0.04038548469543457,0.049631406,1.1768752,-12.324309381573542,-0.13557849685772871,-0.061002620176498615,0.0,0.060682392406255115,72,0.0020661354064941406,0.9939152925729025,0.9939152925729025,142,-18.23335353731944,0.0
2,0.7498741149902344,-13.149534518235718,1.6618567821884906,-10.512984682592354,-14.911648057382813,0.0,0.132683312351599,0.1,0.001888275146484375,0.03996920585632324,0.047806796,1.8905407,-12.40683189523976,-0.131146633092723,-0.05662804417196072,0.0,0.05780945473979298,69,0.002499818801879883,0.9933740536474249,0.9933740536474249,211,-18.12185905658604,0.0
3,0.7603979110717773,-15.53188178926386,3.5879646305753474,-11.586466122040434,-21.371914148241945,0.0,0.12945975700321227,0.1,0.0018696784973144531,0.03953838348388672,0.04526416,1.0852801,-12.719336884642171,-0.14607347657560335,-0.06847006171259734,0.0,0.05967832718481233,75,0.001990079879760742,0.9944955927864814,0.9944955927864814,286,-17.11556919810228,0.0
4,0.7640948295593262,-12.955336908711898,1.792659505378068,-10.378940512033171,-15.447756754359915,0.0,0.138632807865269,0.1,0.0019686222076416016,0.04003596305847168,0.049452715,1.4056973,-12.742936887049146,-0.12283661329662046,-0.055504886821439045,0.0,0.05977650364974214,72,0.002064228057861328,0.9933024664938589,0.9933024664938589,358,-16.57764470550811,0.0
5,0.7615251541137695,-13.218501748967599,2.4948080482757775,-9.737864601105672,-16.237966903777398,0.0,0.1468866683981932,0.1,0.001888275146484375,0.04038715362548828,0.05161048,0.85739535,-12.790493373240992,-0.12694748835132585,-0.0582629140767615,0.0,0.06022799042035332,74,0.002099275588989258,0.9934134309994467,0.9934134309994467,432,-16.561831591250293,0.0
6,0.7671127319335938,-12.470904340042559,3.0032182524670588,-8.619410280223704,-16.512062533879703,0.0,0.14233127756996436,0.1,0.0018570423126220703,0.04043149948120117,0.048948012,1.4272547,-12.75853446992115,-0.11969817337768626,-0.05604318394826555,0.0,0.06008945152581928,74,0.001969575881958008,0.9932351806636722,0.9932351806636722,506,-15.470239764652534,0.0
7,0.7633678913116455,-14.246213912042313,3.686638313271297,-10.068654345715325,-18.785406071407426,0.0,0.13604281887556602,0.1,0.0019199848175048828,0.04044675827026367,0.051143646,0.9648644,-12.907302414133268,-0.14503976064873553,-0.06338595079230694,0.0,0.060338222007245326,70,0.002100229263305664,0.9941495616069862,0.9941495616069862,576,-16.23597972464513,0.0
8,0.7728860378265381,-14.036256862446916,2.1980118082410485,-11.306210794635067,-17.31069097094644,0.0,0.12770678063621005,0.1,0.0018782615661621094,0.03962111473083496,0.04946859,1.2753903,-13.020197858964632,-0.1428092391463099,-0.06149586621400565,0.0,0.059693817309160395,69,0.0019843578338623047,0.9937917958862296,0.9937917958862296,645,-15.174334614547023,0.0
9,0.7795395851135254,-12.206308698604904,1.621477742431254,-10.49201130646343,-14.756429268890678,0.0,0.13880833362581868,0.1,0.0018358230590820312,0.04098963737487793,0.047410212,1.2013206,-12.938808942928661,-0.11697190374737362,-0.05333621637927345,0.0,0.06193429142327396,73,0.002031564712524414,0.9927722400442016,0.9927722400442016,718,-14.958363108048928,0.0
10,0.7808883190155029,-11.280429789058703,1.5501932983020958,-9.743808236598083,-13.833197051789586,0.0,0.13347691276628226,0.1,0.0019001960754394531,0.03938031196594238,0.048120517,1.077851,-12.772971027541667,-0.11408322228133086,-0.04919585292003664,0.0,0.06114899499488903,69,0.0018858909606933594,0.992060663783078,0.992060663783078,787,-13.790041224803863,0.0
11,0.7815618515014648,-13.726756053804323,2.4613962529158058,-11.937740260397412,-17.97148767983234,0.0,0.1489087876249865,0.1,0.0019147396087646484,0.0391998291015625,0.04963097,1.1026114,-12.868349530167933,-0.13773641364272765,-0.0595149407335627,0.0,0.061313392535391094,69,0.0019173622131347656,0.9937491472203902,0.9937491472203902,856,-13.076625921596586,0.0
12,0.8026046752929688,-11.173622462427296,2.6300248567987072,-9.335531908002892,-15.71078246138083,0.0,0.14656611822429017,0.1,0.0019588470458984375,0.03920102119445801,0.053600345,0.9347932,-12.698876823393869,-0.11308142389584425,-0.05075263888228318,0.0,0.060500742367312656,71,0.001972198486328125,0.9923704436414047,0.9923704436414047,927,-15.108077097066763,0.0
13,0.7955625057220459,-15.182440962914235,2.0078764793745134,-12.198940180856816,-17.860874383483985,0.0,0.15014693423631806,0.1,0.0018815994262695312,0.04111838340759277,0.05227739,1.1844141,-12.947233237345905,-0.1492808628439954,-0.06745294827302241,0.0,0.05922242612245088,72,0.002108335494995117,0.9940912917291631,0.9940912917291631,999,-12.813998418144775,0.0
14,0.8011949062347412,-11.625575105650825,1.9414531270263649,-9.968177811548703,-14.925007775528055,0.0,0.1412499654193815,0.1,0.0018639564514160156,0.03997492790222168,0.04794094,1.11493,-12.815067424176398,-0.1117777157693286,-0.050706303256007196,0.0,0.061274423136132204,73,0.002081632614135742,0.992332807136078,0.992332807136078,1072,-10.011987293401669,0.0
15,0.7565703392028809,-12.134909905964571,2.0797749956910443,-9.390453791786731,-14.187776444271385,0.0,0.13466848768336398,0.1,0.0019698143005371094,0.04770708084106445,0.052370645,1.4497697,-12.747051672355216,-0.12306188852841665,-0.05313794332595189,0.0,0.0613600473448285,69,0.002285003662109375,0.9927995111745938,0.9927995111745938,1141,-9.929027075563008,0.0
16,0.7707245349884033,-13.17040437807228,2.446665877337412,-9.933853662312526,-16.082814747024823,0.0,0.14809622595885688,0.1,0.001932382583618164,0.041948556900024414,0.052747507,0.88222116,-12.789386942926924,-0.13912884026549982,-0.057631637455948945,0.0,0.06209698626840769,66,0.002215862274169922,0.9934926900144545,0.9934926900144545,1207,-8.798447382693718,0.0
17,0.7815372943878174,-12.810235921612541,1.3509111679996135,-11.085370235576537,-14.268677957608162,0.0,0.14647230882922754,0.1,0.0019567012786865234,0.040563106536865234,0.049294926,1.4305764,-12.791471840795486,-0.12189155955068667,-0.05628805080039717,0.0,0.061209058285688234,74,0.0022809505462646484,0.9929052908198984,0.9929052908198984,1281,-9.43708467602018,0.0
18,0.781475305557251,-14.796827737581909,1.7525471798443928,-11.9653849477392,-16.49820671141972,0.0,0.1452203484297115,0.1,0.001918792724609375,0.04119110107421875,0.04971499,1.4177223,-12.992007430474128,-0.1476287397423174,-0.06355947251719737,0.0,0.06027692734018139,69,0.0019063949584960938,0.9940926844924513,0.9940926844924513,1350,-9.992578882303516,0.0
19,0.8077330589294434,-13.358819615453083,2.969609291401211,-8.355512718137092,-15.77589332623491,0.0,0.1570900101213531,0.1,0.001936197280883789,0.04075002670288086,0.049985655,0.8200709,-13.028688648972024,-0.12654883058770827,-0.06055255883298505,0.0,0.061726363218909196,78,0.0021855831146240234,0.9934898289630454,0.9934898289630454,1428,-9.787761318740719,0.0
20,0.7993102073669434,-12.86900591643965,2.6554651209775515,-10.830195397710826,-17.418083200360336,0.0,0.14845429198381965,0.1,0.0019788742065429688,0.03960132598876953,0.051269654,0.81754106,-13.012720375718786,-0.12705862889408923,-0.056744002900101134,0.0,0.06259276348945166,72,0.002274751663208008,0.9930941334558976,0.9930941334558976,1500,-10.001628402350994,0.0
21,0.8033690452575684,-12.174467539129596,1.7225873558515987,-10.572741442518346,-14.892528895845945,0.0,0.15137456747520636,0.1,0.002113819122314453,0.0396726131439209,0.049432,0.8586292,-12.928895092059866,-0.11787089590203689,-0.05354089495464447,0.0,0.06252855258555168,73,0.0020024776458740234,0.9926452336899587,0.9926452336899587,1573,-8.906983611551697,0.0
22,0.811436653137207,-15.017593877771223,2.0418430032226587,-12.735803679620574,-18.141283882748915,0.0,0.1531404688529897,0.1,0.0019068717956542969,0.039885759353637695,0.049115453,1.0506889,-13.137764970631002,-0.15031806757605634,-0.06649999770237429,0.0,0.060475132049019595,71,0.002023458480834961,0.9940695859067149,0.9940695859067149,1644,-9.219389700350371,0.0
23,0.8200328350067139,-11.320688014361359,2.0833925119732637,-9.224209246193297,-14.605817899806757,0.0,0.15531157103807205,0.1,0.00191497802734375,0.039923906326293945,0.05071343,0.8014839,-12.956057275004037,-0.11352941839065978,-0.05135836564187311,0.0,0.06174063804780204,74,0.0022001266479492188,0.9920383794320414,0.9920383794320414,1718,-10.018122907028188,0.0
24,0.816932201385498,-12.078818613582094,1.3425074661954617,-10.826671507642537,-14.262556542707173,0.0,0.14289732812411457,0.1,0.0019960403442382812,0.03958249092102051,0.04939657,1.2286412,-12.868333408861844,-0.1159892957116744,-0.0536476528996229,0.0,0.06348704309781071,74,0.002071857452392578,0.9923922190273985,0.9923922190273985,1792,-10.256561904016557,0.0
25,0.8121726512908936,-15.767483935185698,4.270768760571667,-10.39837331197828,-21.278260996613852,0.0,0.14618455377601505,0.1,0.0019197463989257812,0.04079914093017578,0.04969747,0.9248769,-13.158248461494228,-0.15418711063626933,-0.0693841997863212,0.0,0.0628086963482359,72,0.0018782615661621094,0.9948305217369641,0.9948305217369641,1864,-10.347347656193582,0.0
26,0.8015892505645752,-11.209052906602999,2.4691549567176247,-7.786960735855943,-14.044366435949367,0.0,0.1417160213055715,0.1,0.0019259452819824219,0.039975881576538086,0.05118631,0.8635717,-12.963328906005106,-0.11290922498931555,-0.04959208377382575,0.0,0.0623288806691572,70,0.0019593238830566406,0.992298184463841,0.992298184463841,1934,-8.734025632801183,0.0
27,0.8234865665435791,-12.637174189567602,3.01368254342568,-8.69423381079155,-16.680228346371905,0.0,0.1393012793806508,0.1,0.0019164085388183594,0.040008544921875,0.049774077,1.2291714,-12.930713434361357,-0.12422950020240443,-0.05761558374387499,0.0,0.06095974863861869,74,0.0019588470458984375,0.9931222136770135,0.9931222136770135,2008,-9.040490454672815,0.0
