iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,effort,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
10,1.2020998001098633,-528.6991383346417,5.472956896354666,-521.3710281589069,-535.0705689401778,0.375,0.13469419724823098,0.1,0.0022935867309570312,0.04619407653808594,0.050203092,0.91314685,-535.286721864542,-0.11666013295573366,-0.13266110156684985,0.375,0.06040443582297998,70,0.0025377273559570312,0.9998579108589835,0.9998579108589835,790,-574.986461381365,0.49999999999999994
11,1.0746288299560547,-536.2737628607904,10.533521103084212,-524.9533748954085,-551.8807450817415,0.375,0.1431896939446119,0.1,0.0022869110107421875,0.046617746353149414,0.050625585,0.98802215,-535.3854259641669,-0.11155238119897617,-0.1717560625915594,0.375,0.06070980374491971,75,0.0026144981384277344,0.9998610054614911,0.9998610054614911,865,-564.8948187992547,0.49999999999999994
12,1.1207408905029297,-535.2215347925782,12.603485736076898,-523.0556277348882,-553.4133908822545,0.5,0.16340366990287922,0.1,0.002335786819458008,0.046863555908203125,0.048853777,1.1939242,-535.369036847008,-0.10006069838244001,-0.16694791369089246,0.5,0.06011342006524792,83,0.0028638839721679688,0.9998627285491323,0.9998627285491323,948,-562.6818743542965,0.49999999999999994
13,1.1661036014556885,-542.8364012574912,5.792324302254075,-533.7822947383225,-549.9176295947806,0.375,0.16348979540947048,0.1,0.0025300979614257812,0.047150373458862305,0.04995863,0.7320096,-536.1157732880563,-0.12273520156171863,-0.20432323706195463,0.375,0.06014618280280954,84,0.0028853416442871094,0.9998574615249157,0.9998574615249157,1032,-564.3156122513401,0.49999999999999994
14,1.2466225624084473,-533.9061751195468,8.339089447350865,-522.0795731769352,-544.8323700544101,0.5,0.1427040077459195,0.1,0.009119749069213867,0.12568354606628418,0.052339125,0.7670563,-535.8948134712053,-0.09564168666378513,-0.16070277127610275,0.5,0.06113298319116847,77,0.0026977062225341797,0.9998596225485689,0.9998596225485689,1109,-560.1439275455272,0.49999999999999994
15,1.0123529434204102,-542.3289635022161,10.942652863021266,-525.8447074419892,-553.8711748667483,0.125,0.1377522687475812,0.1,0.0024335384368896484,0.04537677764892578,0.05003361,0.8633974,-536.5382284743064,-0.10772763446895225,-0.20162117780050526,0.125,0.06057021985636434,72,0.003084897994995117,0.9998604537552916,0.9998604537552916,1181,-560.6492358049126,0.49999999999999994
16,1.0565125942230225,-540.9663014877148,6.531710093345453,-533.891020753922,-551.45901430338,0.25,0.14585886078671711,0.1,0.002228260040283203,0.04477977752685547,0.05118007,0.76160103,-536.9810357756472,-0.12820715167637697,-0.19416080135240615,0.25,0.06114425045877118,72,0.0025658607482910156,0.9998595322323709,0.9998595322323709,1253,-565.2638168967509,0.49999999999999994
17,1.289914846420288,-536.0770123967402,8.810095706004972,-523.3413559875997,-546.2675322114837,0.375,0.13814023749807822,0.1,0.0022726058959960938,0.05032992362976074,0.051481213,0.71436,-536.8906334377565,-0.09853106506806719,-0.17260581458864985,0.375,0.06134631875473197,75,0.0030202865600585938,0.9998587054296603,0.9998587054296603,1328,-556.8023946901652,0.49999999999999994
18,1.0857622623443604,-536.2700949947791,10.385113123178764,-525.9033705345945,-550.0347374681066,0.25,0.13611107006859977,0.1,0.02718353271484375,0.04663705825805664,0.050110996,0.85559726,-536.8285795934588,-0.10712174286308838,-0.17045418763498318,0.25,0.06039907762822516,71,0.0029625892639160156,0.9998612189236552,0.9998612189236552,1399,-555.9455747748365,0.49999999999999994
19,1.295490026473999,-534.1421669451697,9.143421522991481,-525.6490729068574,-549.2400828227084,0.375,0.16070589410710157,0.1,0.002331972122192383,0.04742074012756348,0.050448228,0.8582686,-536.5599383286299,-0.09305360948947466,-0.16244990749825455,0.375,0.06140821160883146,75,0.003572702407836914,0.9998600144071653,0.9998600144071653,1474,-561.7222718731679,0.49999999999999994
20,1.1207339763641357,-530.274975769602,5.018427686335891,-522.3978405923061,-535.7270529549394,0.5,0.1572131621849291,0.1,0.0025146007537841797,0.04709219932556152,0.049862392,0.727728,-535.9314420727271,-0.09750377993789297,-0.14245194750721302,0.5,0.06166482372382897,75,0.003081083297729492,0.9998576540807971,0.9998576540807971,1549,-569.9822012651881,0.49999999999999994
21,1.17927885055542,-532.5987842006352,6.352393420797523,-526.4186429351596,-541.8979162345912,0.5,0.15401662400427285,0.1,0.03047966957092285,0.268247127532959,0.049847335,0.7574698,-535.598176285518,-0.10338289528073064,-0.15491091885475602,0.5,0.06304827613182726,74,0.0028731822967529297,0.9998594668288956,0.9998594668288956,1623,-590.078726905447,0.49999999999999994
22,1.2857818603515625,-542.4055744486066,5.445964302386776,-536.5635077576244,-549.2318524500716,0.375,0.16255458610775061,0.1,0.02953195571899414,0.18116402626037598,0.05168449,0.86667925,-536.2789161018268,-0.112216804825146,-0.2028745758274664,0.375,0.060070756603405696,86,0.004963397979736328,0.9998595762234569,0.9998595762234569,1709,-604.0669633321353,0.49999999999999994
23,1.0775043964385986,-536.5119316966662,3.195010897687281,-531.635149801695,-540.0219270229857,0.375,0.16060928790586065,0.1,0.0023796558380126953,0.04701995849609375,0.050572883,0.6893233,-536.3022176613108,-0.0878247962786956,-0.1749687018107942,0.375,0.06051506007092916,83,0.0029752254486083984,0.9998569200443188,0.9998569200443188,1792,-609.4754052575769,0.49999999999999994
24,1.1300935745239258,-534.0670055598362,7.529048431948424,-525.0329204345275,-545.4246139300609,0.5,0.1472677480473536,0.1,0.0023565292358398438,0.24263930320739746,0.049724944,0.6364049,-536.0786964511634,-0.1045123873421787,-0.16222654003336756,0.5,0.063145152291564,84,0.00898885726928711,0.999858318959297,0.999858318959297,1876,-582.2838913291093,0.49999999999999994
25,1.0656163692474365,-533.2858369988933,3.329335362072646,-528.9777944208265,-537.8533805567063,0.5,0.14389376658943961,0.1,0.0022978782653808594,0.050510406494140625,0.05026513,0.7737202,-535.7994105059364,-0.09506460049084743,-0.159066070065642,0.5,0.0621124976591039,77,0.002691507339477539,0.999861079221706,0.999861079221706,1953,-595.7692846371556,0.49999999999999994
