iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,effort,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
16,1.038137674331665,-544.4224229801441,5.413019851278416,-535.4896355431822,-549.981128951773,0.25,0.13857040588597008,0.1,0.002349853515625,0.04400205612182617,0.05238092,0.7233609,-536.9793685247614,-0.13264564002074042,-0.21034538495613958,0.25,0.061131685553623166,71,0.002794504165649414,1.000272895151343,1.000272895151343,1236,-571.1696587343525,0.49999999999999994
17,1.0083951950073242,-533.3696153812086,9.760196241268167,-520.221536308508,-546.9059200667825,0.375,0.1366973287652523,0.1,0.002028226852416992,0.04155874252319336,0.04991495,0.9149169,-536.6183932104061,-0.10728897688291127,-0.15868510335384792,0.375,0.06106329628833506,71,0.002203226089477539,1.0002753671977966,1.0002753671977966,1307,-565.6844306826223,0.49999999999999994
18,1.011427640914917,-536.3482441795902,4.466663260633317,-528.7988629096169,-540.4585352856966,0.375,0.12824024468836936,0.1,0.002019166946411133,0.044736385345458984,0.050376147,1.3943855,-536.5913783073246,-0.10901059769509416,-0.17210375081260565,0.375,0.059067072679666974,68,0.002440214157104492,1.0002719204508432,1.0002719204508432,1375,-563.8993747915198,0.49999999999999994
19,1.0167913436889648,-533.6784254967729,5.272102045330557,-527.0176475007972,-539.3750982424632,0.5,0.137233436050308,0.1,0.1012580394744873,0.10992860794067383,0.05116594,0.6574861,-536.3000830262695,-0.1046728323378138,-0.15879357223928653,0.5,0.060530487596741726,70,0.002615690231323242,1.000273318397414,1.000273318397414,1445,-562.1519704224296,0.49999999999999994
20,1.0348544120788574,-534.3675199568825,4.926065691576664,-526.4298505020572,-539.9608641726844,0.5,0.14506756865730136,0.1,0.002198457717895508,0.0678553581237793,0.05003944,0.94281465,-536.1068267193308,-0.09843787514744201,-0.16303467384280007,0.5,0.062072322386420124,78,0.021503448486328125,1.0002752217005733,1.0002752217005733,1523,-559.7440051840643,0.49999999999999994
21,1.0945336818695068,-536.5206543904787,9.220337256332678,-526.9921549494176,-549.78394575187,0.375,0.13645173533527621,0.1,0.0026640892028808594,0.046452999114990234,0.050107785,0.80695933,-536.1482094864456,-0.09113146336156294,-0.175058817430113,0.375,0.06253251001084192,80,0.002714395523071289,1.0002762890391532,1.0002762890391532,1603,-562.8544764383664,0.49999999999999994
22,1.0508694648742676,-535.1759103570369,7.989200521039769,-522.692997876801,-542.9705267063616,0.5,0.13924404671061694,0.1,0.0021033287048339844,0.04442596435546875,0.051210266,0.8308986,-536.0509795735047,-0.10427769330282705,-0.16717636444425418,0.5,0.06145218860810123,77,0.002560853958129883,1.0002744031678745,1.0002744031678745,1680,-571.9847429591392,0.49999999999999994
23,1.0733206272125244,-535.3220000600952,7.387602776018561,-526.925476764395,-544.9924764729279,0.375,0.1487394448322099,0.1,0.002315521240234375,0.04346466064453125,0.05063689,0.7603927,-535.9780816221638,-0.09827993766181939,-0.16889553273494556,0.375,0.059690709293757915,77,0.0027256011962890625,1.0002742329382208,1.0002742329382208,1757,-581.6484200145952,0.49999999999999994
24,1.0524919033050537,-535.9166650312523,7.192984290268014,-529.6257939504294,-548.1021354205683,0.375,0.1388930153044698,0.1,0.002212047576904297,0.043215036392211914,0.05162754,0.7493842,-535.9719399630726,-0.0988531461450014,-0.17287366722295536,0.375,0.062224555452244666,76,0.0031883716583251953,1.000273677096662,1.000273677096662,1833,-573.3464790437371,0.49999999999999994
25,1.0583102703094482,-528.6246200125349,12.824779246617627,-509.7408297731763,-545.9461134290619,0.375,0.1406841690467071,0.1,0.002178668975830078,0.043050289154052734,0.049496204,0.9206311,-535.2372079680189,-0.09849189500837574,-0.13587744643433014,0.375,0.061116091611497565,70,0.002505779266357422,1.000271858748987,1.000271858748987,1903,-585.5305130005902,0.49999999999999994
