Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.03  0.02 -100000000.00 
   1  0.03  0.02  0.03 
   2  0.01  0.02  0.03 
   3  0.05  0.03  0.03 
   4  0.06  0.03  0.05 
   5  0.03  0.05  0.06 
   6  0.03  0.05  0.06 
   7  0.03  0.07  0.06 
   8  0.08  0.08  0.06 
   9  0.05  0.06  0.08 
  10  0.10  0.07  0.08 
  11  0.08  0.08  0.10 
  12  0.15  0.11  0.10 
  13  0.04  0.12  0.15 
  14  0.12  0.12  0.15 
  15  0.10  0.11  0.15 
  16  0.08  0.20  0.15 
  17  0.14  0.23  0.15 
  18  0.19  0.13  0.15 
  19  0.13  0.30  0.19 
  20  0.06  0.23  0.19 
  21  0.10  0.34  0.19 
  22  0.12  0.37  0.19 
  23  0.21  0.34  0.19 
  24  0.07  0.26  0.21 
  25  0.07  0.28  0.21 
  26  0.14  0.43  0.21 
  27  0.14  0.39  0.21 
  28  0.10  0.21  0.21 
  29  0.17  0.22  0.21 
  30  0.17  0.24  0.21 
  31  0.09  0.27  0.21 
  32  0.15  0.30  0.21 
  33  0.20  0.29  0.21 
  34  0.12  0.16  0.21 
  35  0.11  0.15  0.21 
  36  0.12  0.16  0.21 
  37  0.09  0.12  0.21 
  38  0.19  0.23  0.21 
  39  0.16  0.19  0.21 
  40  0.20  0.20  0.21 
  41  0.16  0.23  0.21 
  42  0.21  0.27  0.21 
  43  0.27  0.25  0.21 
  44  0.18  0.38  0.27 
  45  0.17  0.40  0.27 
  46  0.23  0.26  0.27 
  47  0.30  0.42  0.27 
  48  0.21  0.16  0.30 
  49  0.33  0.48  0.30 
  50  0.26  0.30  0.33 
  51  0.21  0.40  0.33 
  52  0.12  0.26  0.33 
  53  0.21  0.39  0.33 
  54  0.20  0.33  0.33 
  55  0.21  0.09  0.33 
  56  0.26  0.42  0.33 
  57  0.25  0.38  0.33 
  58  0.20  0.62  0.33 
  59  0.19  0.22  0.33 
  60  0.13  0.67  0.33 
  61  0.40  0.08  0.33 
  62  0.23  0.77  0.40 
  63  0.19  0.32  0.40 
  64  0.19  0.77  0.40 
  65  0.24  0.52  0.40 
  66  0.28  0.52  0.40 
  67  0.18  0.83  0.40 
  68  0.21  0.53  0.40 
  69  0.30  0.44  0.40 
  70  0.20  0.86  0.40 
  71  0.42  0.70  0.40 
  72  0.53  1.10  0.42 
  73  0.20  0.56  0.53 
  74  0.26  0.60  0.53 
  75  0.23  0.45  0.53 
  76  0.22  0.51  0.53 
  77  0.19  0.48  0.53 
  78  0.41  0.80  0.53 
  79  0.32  0.48  0.53 
  80  0.50  0.86  0.53 
  81  0.19  0.80  0.53 
  82  0.22  1.14  0.53 
  83  0.41  1.05  0.53 
  84  0.26  0.80  0.53 
  85  0.19  0.79  0.53 
  86  0.23  0.70  0.53 
  87  0.30  0.97  0.53 
  88  0.31  0.45  0.53 
  89  0.21  1.10  0.53 
  90  0.28  0.86  0.53 
  91  0.07  0.90  0.53 
  92  0.31  0.85  0.53 
  93  0.23  1.00  0.53 
  94  0.23  1.23  0.53 
  95  0.43  1.14  0.53 
  96  0.46  1.38  0.53 
  97  0.34  0.54  0.53 
  98  0.48  0.81  0.53 
  99  0.36  0.60  0.53 
 100  0.24  1.40  0.53 
 101  0.24  1.02  0.53 
 102  0.36  0.20  0.53 
 103  0.32  0.98  0.53 
 104  0.29  0.36  0.53 
 105  0.27  1.19  0.53 
 106  0.24  1.02  0.53 
 107  0.30  1.10  0.53 
 108  0.34  1.31  0.53 
 109  0.29  0.84  0.53 
 110  0.50  1.92  0.53 
 111  0.27  0.84  0.53 
 112  0.24  1.86  0.53 
 113  0.32  1.05  0.53 
 114  0.50  0.97  0.53 
 115  0.23  0.43  0.53 
 116  0.21  0.30  0.53 
 117  0.37  0.23  0.53 
 118  0.31  0.24  0.53 
 119  0.35  0.28  0.53 
 120  0.20  0.32  0.53 
 121  0.28  0.34  0.53 
 122  0.48  0.34  0.53 
 123  0.50  0.33  0.53 
 124  0.50  0.32  0.53 
 125  0.29  0.46  0.53 
 126  0.29  0.82  0.53 
 127  0.34  0.73  0.53 
 128  0.34  0.95  0.53 
 129  0.34  0.76  0.53 
 130  0.72  0.81  0.53 
 131  0.24  1.08  0.72 
 132  0.31  1.19  0.72 
 133  0.56  0.68  0.72 
 134  0.43  0.51  0.72 
 135  0.20  0.63  0.72 
 136  0.43  0.48  0.72 
 137  0.36  0.39  0.72 
 138  0.43  0.18  0.72 
 139  0.33  0.70  0.72 
 140  0.36  0.62  0.72 
 141  0.30  1.59  0.72 
 142  0.38  2.50  0.72 
 143  0.30  1.16  0.72 
 144  0.41  0.93  0.72 
 145  0.29  0.79  0.72 
 146  0.33  1.38  0.72 
 147  0.47  0.55  0.72 
 148  0.48  0.66  0.72 
 149  0.34  0.53  0.72 
 150  0.39  0.56  0.72 
 151  0.37  0.49  0.72 
 152  0.50  0.42  0.72 
 153  0.32  0.39  0.72 
 154  0.44  0.18  0.72 
 155  0.41  0.78  0.72 
 156  0.33  0.39  0.72 
 157  0.43  0.22  0.72 
 158  0.29  0.11  0.72 
 159  0.47  0.12  0.72 
 160  0.60  0.10  0.72 
 161  0.57  0.16  0.72 
 162  0.51  0.16  0.72 
 163  0.66  0.15  0.72 
 164  0.44  0.22  0.72 
 165  0.48  0.12  0.72 
 166  0.43  0.13  0.72 
 167  0.53  0.09  0.72 
 168  0.42  0.17  0.72 
 169  0.53  0.11  0.72 
 170  0.23  0.12  0.72 
 171  0.66  0.08  0.72 
 172  0.48  0.10  0.72 
 173  0.41  0.12  0.72 
 174  0.35  0.08  0.72 
 175  0.42  0.06  0.72 
 176  0.59  0.07  0.72 
 177  0.49  0.08  0.72 
 178  0.59  0.09  0.72 
 179  0.30  0.07  0.72 
 180  0.44  0.12  0.72 
 181  0.44  0.42  0.72 
 182  0.45  0.31  0.72 
 183  0.45  0.07  0.72 
 184  0.49  0.23  0.72 
 185  0.32  0.21  0.72 
 186  0.64  0.55  0.72 
 187  0.66  0.20  0.72 
 188  0.83  0.26  0.72 
 189  0.52  0.47  0.83 
 190  0.58  0.17  0.83 
 191  0.50  0.19  0.83 
 192  0.25  0.10  0.83 
 193  0.41  0.11  0.83 
 194  0.49  0.06  0.83 
 195  0.35  0.42  0.83 
 196  0.68  0.12  0.83 
 197  0.41  0.05  0.83 
 198  0.46  0.06  0.83 
 199  0.53  0.08  0.83 
 200  0.33  0.08  0.83 
 201  0.53  0.17  0.83 
 202  0.50  0.13  0.83 
 203  0.54  0.07  0.83 
 204  0.58  0.07  0.83 
 205  0.89  0.08  0.83 
 206  0.59  0.04  0.89 
 207  0.46  0.05  0.89 
 208  0.55  0.06  0.89 
 209  0.55  0.05  0.89 
 210  0.52  0.05  0.89 
 211  0.42  0.04  0.89 
 212  0.46  0.04  0.89 
 213  0.45  0.14  0.89 
 214  0.72  0.15  0.89 
 215  0.36  0.32  0.89 
 216  0.73  0.37  0.89 
 217  0.56  0.25  0.89 
 218  0.41  0.15  0.89 
 219  0.59  0.13  0.89 
 220  0.38  0.15  0.89 
 221  0.45  0.11  0.89 
 222  0.57  0.09  0.89 
 223  0.46  0.05  0.89 
 224  0.49  0.06  0.89 
 225  0.65  0.03  0.89 
 226  0.73  0.02  0.89 
 227  0.41  0.04  0.89 
 228  0.52  0.07  0.89 
 229  0.36  0.05  0.89 
 230  0.22  0.04  0.89 
 231  0.58  0.05  0.89 
 232  0.74  0.02  0.89 
 233  0.35  0.04  0.89 
 234  0.65  0.03  0.89 
 235  0.48  0.11  0.89 
 236  0.39  0.16  0.89 
 237  0.48  0.15  0.89 
 238  0.50  0.03  0.89 
 239  0.75  0.12  0.89 
 240  0.34  0.07  0.89 
 241  0.54  0.05  0.89 
 242  0.80  0.05  0.89 
 243  0.78  0.06  0.89 
 244  0.60  0.05  0.89 
 245  0.54  0.05  0.89 
 246  0.53  0.07  0.89 
 247  0.56  0.06  0.89 
 248  0.41  0.07  0.89 
 249  0.62  0.25  0.89 
 250  0.44  0.17  0.89 
 251  0.69  0.21  0.89 
 252  0.54  0.13  0.89 
 253  0.66  0.17  0.89 
 254  0.17  0.23  0.89 
 255  0.57  0.02  0.89 
 256  0.88  0.11  0.89 
 257  0.50  0.09  0.89 
 258  0.47  0.02  0.89 
 259  0.62  0.79  0.89 
 260  0.42  0.26  0.89 
 261  0.80  0.20  0.89 
 262  0.81  0.45  0.89 
 263  0.49  1.39  0.89 
 264  0.51  0.43  0.89 
 265  0.70  0.68  0.89 
 266  0.85  1.26  0.89 
 267  0.85  0.95  0.89 
 268  0.57  0.90  0.89 
 269  0.56  0.47  0.89 
 270  0.26  0.32  0.89 
 271  0.66  0.42  0.89 
 272  0.75  1.15  0.89 
 273  1.07  0.25  0.89 
 274  0.44  0.23  1.07 
 275  0.68  0.94  1.07 
 276  0.70  0.70  1.07 
 277  0.49  0.58  1.07 
 278  0.61  0.68  1.07 
 279  0.71  0.59  1.07 
 280  0.83  0.18  1.07 
 281  0.67  0.05  1.07 
 282  0.52  0.71  1.07 
 283  0.58  0.27  1.07 
 284  0.81  0.60  1.07 
 285  0.81  0.46  1.07 
 286  0.63  0.08  1.07 
 287  0.96  0.07  1.07 
 288  0.57  1.25  1.07 
 289  0.69  0.20  1.07 
 290  1.02  0.52  1.07 
 291  0.71  0.29  1.07 
 292  0.89  0.76  1.07 
 293  1.26  0.31  1.07 
 294  0.63  0.53  1.26 
 295  0.75  0.96  1.26 
 296  0.88  0.45  1.26 
 297  1.42  0.46  1.26 
 298  0.35  0.43  1.42 
 299  1.20  0.50  1.42 
 300  0.67  0.33  1.42 
 301  0.65  0.29  1.42 
 302  0.87  0.04  1.42 
 303  0.91  0.23  1.42 
 304  0.77  0.26  1.42 
 305  0.86  0.09  1.42 
 306  0.26  0.19  1.42 
 307  0.93  0.38  1.42 
 308  0.90  0.30  1.42 
 309  0.99  0.52  1.42 
 310  0.50  0.58  1.42 
 311  1.14  0.36  1.42 
 312  0.41  1.18  1.42 
 313  1.09  0.42  1.42 
 314  0.80  0.26  1.42 
 315  0.75  0.28  1.42 
 316  0.89  0.26  1.42 
 317  0.87  0.08  1.42 
 318  0.85  0.36  1.42 
 319  0.37  0.49  1.42 
 320  0.44  0.32  1.42 
 321  0.60  0.86  1.42 
 322  0.82  1.09  1.42 
 323  0.57  1.41  1.42 
 324  0.92  1.36  1.42 
 325  1.17  0.19  1.42 
 326  0.58  1.66  1.42 
 327  1.25  1.20  1.42 
 328  0.83  0.30  1.42 
 329  0.56  0.32  1.42 
 330  0.83  1.22  1.42 
 331  1.17  0.84  1.42 
 332  0.88  0.68  1.42 
 333  1.24  0.37  1.42 
 334  1.23  0.98  1.42 
 335  0.89  0.78  1.42 
 336  0.83  1.49  1.42 
 337  0.72  1.42  1.42 
 338  0.76  1.27  1.42 
 339  0.33  1.19  1.42 
 340  0.66  0.63  1.42 
 341  1.18  0.41  1.42 
 342  0.82  0.40  1.42 
 343  0.69  0.24  1.42 
 344  0.74  0.82  1.42 
 345  0.93  0.35  1.42 
 346  0.79  0.65  1.42 
 347  1.26  2.07  1.42 
 348  0.72  1.79  1.42 
 349  1.13  1.94  1.42 
 350  0.86  1.96  1.42 
 351  0.77  1.70  1.42 
 352  0.59  2.04  1.42 
 353  1.02  0.79  1.42 
 354  0.98  0.93  1.42 
 355  0.98  0.57  1.42 
 356  1.48  0.98  1.42 
 357  0.94  1.68  1.48 
 358  1.46  1.32  1.48 
 359  1.20  0.79  1.48 
 360  0.74  2.00  1.48 
 361  0.53  1.47  1.48 
 362  1.12  0.83  1.48 
 363  0.50  2.32  1.48 
 364  1.41  1.10  1.48 
 365  1.42  0.67  1.48 
 366  1.42  1.31  1.48 
 367  0.99  1.04  1.48 
 368  1.21  1.57  1.48 
 369  0.99  1.22  1.48 
 370  1.85  1.20  1.48 
 371  0.84  0.42  1.85 
 372  1.20  0.39  1.85 
 373  1.11  1.20  1.85 
 374  0.83  2.53  1.85 
 375  1.10  1.86  1.85 
 376  1.02  1.43  1.85 
 377  1.08  3.00  1.85 
 378  0.61  2.39  1.85 
 379  1.42  3.07  1.85 
 380  1.13  2.00  1.85 
 381  0.79  2.34  1.85 
 382  1.02  1.66  1.85 
 383  0.83  2.05  1.85 
 384  0.67  2.02  1.85 
 385  0.66  1.40  1.85 
 386  0.84  3.17  1.85 
 387  0.48  3.58  1.85 
 388  0.70  2.62  1.85 
 389  0.87  2.36  1.85 
 390  0.97  1.76  1.85 
 391  0.80  1.60  1.85 
 392  0.86  3.35  1.85 
 393  0.92  3.47  1.85 
 394  0.68  3.23  1.85 
 395  0.88  1.43  1.85 
 396  1.11  1.71  1.85 
 397  1.70  0.94  1.85 
 398  0.91  1.76  1.85 
 399  1.19  1.65  1.85 
 400  1.25  1.22  1.85 
 401  0.67  1.37  1.85 
 402  0.97  1.01  1.85 
 403  1.41  2.29  1.85 
 404  1.03  1.44  1.85 
 405  0.96  0.54  1.85 
 406  1.28  0.48  1.85 
 407  1.01  0.49  1.85 
 408  1.26  0.59  1.85 
 409  1.09  0.99  1.85 
 410  1.21  3.29  1.85 
 411  1.05  1.05  1.85 
 412  1.00  1.81  1.85 
 413  1.71  2.96  1.85 
 414  1.67  2.61  1.85 
 415  1.24  1.82  1.85 
 416  0.96  0.15  1.85 
 417  1.52  0.14  1.85 
 418  0.75  0.23  1.85 
 419  1.00  0.20  1.85 
 420  1.39  0.16  1.85 
 421  1.30  0.17  1.85 
 422  0.75  0.17  1.85 
 423  0.79  0.16  1.85 
 424  0.41  0.30  1.85 
 425  1.04  0.10  1.85 
 426  1.29  0.55  1.85 
 427  0.98  0.87  1.85 
 428  0.97  0.20  1.85 
 429  0.77  0.06  1.85 
 430  1.64  0.04  1.85 
 431  1.27  0.04  1.85 
 432  0.80  1.38  1.85 
 433  1.00  0.89  1.85 
 434  0.64  0.06  1.85 
 435  1.03  0.07  1.85 
 436  1.48  0.07  1.85 
 437  0.87  0.34  1.85 
 438  0.47  0.05  1.85 
 439  1.31  0.09  1.85 
 440  0.90  0.42  1.85 
 441  1.34  0.07  1.85 
 442  1.41  0.08  1.85 
 443  0.91  0.06  1.85 
 444  0.87  0.06  1.85 
 445  1.28  0.07  1.85 
 446  1.50  0.05  1.85 
 447  1.66  0.11  1.85 
 448  1.87  0.04  1.85 
 449  0.81  0.07  1.87 
 450  1.04  0.40  1.87 
 451  1.01  0.33  1.87 
 452  0.67  0.95  1.87 
 453  1.12  2.95  1.87 
 454  0.80  1.80  1.87 
 455  0.67  0.72  1.87 
 456  1.66  0.26  1.87 
 457  1.22  0.69  1.87 
 458  0.77  1.47  1.87 
 459  1.19  1.74  1.87 
 460  0.77  0.94  1.87 
 461  1.22  0.63  1.87 
 462  1.04  0.06  1.87 
 463  1.02  0.17  1.87 
 464  1.48  0.65  1.87 
 465  1.42  0.61  1.87 
 466  0.99  0.79  1.87 
 467  1.35  0.43  1.87 
 468  0.55  0.37  1.87 
 469  1.05  0.90  1.87 
 470  1.01  0.53  1.87 
 471  1.29  0.24  1.87 
 472  0.74  0.18  1.87 
 473  1.55  0.25  1.87 
 474  1.06  0.13  1.87 
 475  1.21  0.21  1.87 
 476  0.93  0.46  1.87 
 477  1.42  1.13  1.87 
 478  1.47  0.11  1.87 
 479  1.08  0.82  1.87 
 480  0.99  0.51  1.87 
 481  1.28  0.95  1.87 
 482  1.15  0.36  1.87 
 483  0.65  0.42  1.87 
 484  1.30  0.24  1.87 
 485  0.86  0.62  1.87 
 486  1.81  0.55  1.87 
 487  1.36  0.34  1.87 
 488  0.99  0.48  1.87 
 489  0.75  0.63  1.87 
 490  0.89  0.75  1.87 
 491  1.06  0.58  1.87 
 492  1.04  0.71  1.87 
 493  1.57  0.54  1.87 
 494  0.99  0.70  1.87 
 495  1.15  0.57  1.87 
 496  1.79  0.80  1.87 
 497  1.14  0.53  1.87 
 498  1.04  0.87  1.87 
 499  1.30  0.53  1.87 
 500  1.28  0.40  1.87 
 501  1.03  1.01  1.87 
 502  1.28  0.64  1.87 
 503  1.14  0.22  1.87 
 504  0.73  0.90  1.87 
 505  0.97  0.93  1.87 
 506  1.42  1.19  1.87 
 507  1.57  0.82  1.87 
 508  1.30  1.15  1.87 
 509  1.24  0.40  1.87 
 510  0.61  0.47  1.87 
 511  1.50  0.67  1.87 
 512  1.32  0.82  1.87 
 513  0.72  0.61  1.87 
 514  1.66  0.86  1.87 
 515  1.22  0.70  1.87 
 516  0.89  0.53  1.87 
 517  1.23  0.58  1.87 
 518  1.48  0.62  1.87 
 519  0.95  0.82  1.87 
 520  1.68  0.84  1.87 
 521  1.03  0.69  1.87 
 522  1.70  0.75  1.87 
 523  1.23  0.49  1.87 
 524  1.39  0.57  1.87 
 525  0.82  0.66  1.87 
 526  1.98  0.54  1.87 
 527  1.05  0.69  1.98 
 528  1.14  0.96  1.98 
 529  1.11  0.49  1.98 
 530  1.32  2.15  1.98 
 531  0.64  0.35  1.98 
 532  1.01  1.77  1.98 
 533  1.02  0.41  1.98 
 534  1.00  0.77  1.98 
 535  1.23  0.43  1.98 
 536  1.43  0.63  1.98 
 537  1.05  0.59  1.98 
 538  1.03  0.58  1.98 
 539  1.61  0.67  1.98 
 540  1.65  0.50  1.98 
 541  0.60  1.30  1.98 
 542  1.52  0.56  1.98 
 543  1.15  0.60  1.98 
 544  1.26  0.41  1.98 
 545  1.19  1.02  1.98 
 546  1.16  0.95  1.98 
 547  1.45  0.73  1.98 
 548  1.33  1.07  1.98 
 549  1.26  1.72  1.98 
 550  0.90  1.26  1.98 
 551  1.22  0.98  1.98 
 552  1.28  1.20  1.98 
 553  1.47  1.35  1.98 
 554  0.86  0.86  1.98 
 555  0.94  0.97  1.98 
 556  1.37  0.99  1.98 
 557  1.53  1.11  1.98 
 558  1.12  0.84  1.98 
 559  1.38  0.83  1.98 
 560  1.41  0.91  1.98 
 561  1.63  0.53  1.98 
 562  1.33  0.66  1.98 
 563  1.46  1.26  1.98 
 564  1.02  0.80  1.98 
 565  0.82  1.94  1.98 
 566  1.38  1.79  1.98 
 567  1.09  1.40  1.98 
 568  0.58  2.00  1.98 
 569  0.91  1.80  1.98 
 570  0.99  2.39  1.98 
 571  0.85  2.25  1.98 
 572  0.93  0.78  1.98 
 573  2.16  0.67  1.98 
 574  0.68  0.70  2.16 
 575  1.80  0.78  2.16 
 576  0.72  0.66  2.16 
 577  1.28  0.98  2.16 
 578  0.57  1.02  2.16 
 579  1.13  1.10  2.16 
 580  1.51  1.16  2.16 
 581  1.16  1.15  2.16 
 582  1.44  0.88  2.16 
 583  1.39  1.37  2.16 
 584  0.90  0.89  2.16 
 585  1.26  0.61  2.16 
 586  1.65  1.38  2.16 
 587  0.73  0.87  2.16 
 588  1.19  1.59  2.16 
 589  1.11  0.68  2.16 
 590  1.57  1.59  2.16 
 591  1.48  0.86  2.16 
 592  1.37  1.12  2.16 
 593  0.81  0.86  2.16 
 594  1.00  1.42  2.16 
 595  1.23  1.54  2.16 
 596  1.34  1.01  2.16 
 597  1.26  1.04  2.16 
 598  0.80  1.01  2.16 
 599  1.23  0.85  2.16 
 600  1.98  0.89  2.16 
 601  1.26  1.41  2.16 
 602  1.04  1.97  2.16 
 603  1.53  1.49  2.16 
 604  1.15  1.09  2.16 
 605  1.75  1.00  2.16 
 606  1.13  1.10  2.16 
 607  1.08  1.33  2.16 
 608  1.56  0.62  2.16 
 609  1.29  1.65  2.16 
 610  0.89  0.54  2.16 
 611  1.25  0.69  2.16 
 612  1.66  0.69  2.16 
 613  1.45  1.22  2.16 
 614  1.02  1.62  2.16 
 615  1.34  1.16  2.16 
 616  1.30  1.55  2.16 
 617  1.29  1.87  2.16 
 618  1.57  1.74  2.16 
 619  1.22  1.16  2.16 
 620  1.18  2.37  2.16 
 621  1.16  1.03  2.16 
 622  1.10  1.20  2.16 
 623  2.05  0.80  2.16 
 624  1.59  1.04  2.16 
 625  1.29  1.11  2.16 
 626  1.80  1.21  2.16 
 627  1.37  1.48  2.16 
 628  0.71  0.46  2.16 
 629  1.43  1.85  2.16 
 630  1.43  2.54  2.16 
 631  1.40  2.33  2.16 
 632  0.41  1.91  2.16 
 633  1.14  0.82  2.16 
 634  1.72  1.56  2.16 
 635  0.97  1.05  2.16 
 636  1.31  0.95  2.16 
 637  1.55  0.82  2.16 
 638  0.87  0.51  2.16 
 639  1.68  0.90  2.16 
 640  1.16  0.78  2.16 
 641  1.48  1.09  2.16 
 642  1.08  0.96  2.16 
 643  1.59  0.89  2.16 
 644  0.77  0.83  2.16 
 645  1.25  1.85  2.16 
 646  0.95  1.90  2.16 
 647  1.44  0.91  2.16 
 648  1.26  2.13  2.16 
 649  0.95  0.38  2.16 
 650  1.38  1.51  2.16 
 651  1.00  0.74  2.16 
 652  1.25  0.66  2.16 
 653  1.44  0.56  2.16 
 654  1.28  0.74  2.16 
 655  1.38  1.27  2.16 
 656  1.71  0.74  2.16 
 657  0.84  0.67  2.16 
 658  0.86  0.70  2.16 
 659  0.71  1.70  2.16 
 660  1.43  1.00  2.16 
 661  1.92  1.62  2.16 
 662  1.84  0.97  2.16 
 663  1.28  0.62  2.16 
 664  1.29  1.15  2.16 
 665  0.73  0.54  2.16 
 666  0.67  0.70  2.16 
 667  1.18  1.92  2.16 
 668  1.63  1.50  2.16 
 669  1.60  0.93  2.16 
 670  1.02  2.17  2.16 
 671  1.22  1.94  2.16 
 672  1.70  1.68  2.16 
 673  1.65  0.92  2.16 
 674  1.47  0.59  2.16 
 675  1.19  1.12  2.16 
 676  1.63  1.14  2.16 
 677  1.15  1.48  2.16 
 678  0.85  1.03  2.16 
 679  1.56  0.69  2.16 
 680  1.15  0.46  2.16 
 681  1.46  1.08  2.16 
 682  0.89  0.78  2.16 
 683  1.28  0.89  2.16 
 684  1.26  1.80  2.16 
 685  0.97  1.88  2.16 
 686  1.41  1.28  2.16 
 687  1.10  1.07  2.16 
 688  1.16  0.89  2.16 
 689  1.43  1.37  2.16 
 690  1.31  2.84  2.16 
 691  1.05  2.30  2.16 
 692  0.97  1.98  2.16 
 693  0.88  0.99  2.16 
 694  1.89  1.21  2.16 
 695  1.69  0.64  2.16 
 696  1.80  1.37  2.16 
 697  1.06  0.43  2.16 
 698  1.46  0.73  2.16 
 699  1.20  0.66  2.16 
 700  1.23  0.93  2.16 
 701  1.59  1.09  2.16 
 702  1.34  1.33  2.16 
 703  1.05  1.44  2.16 
 704  0.91  1.18  2.16 
 705  1.40  1.23  2.16 
 706  1.45  1.68  2.16 
 707  1.00  1.90  2.16 
 708  1.53  2.08  2.16 
 709  1.33  2.14  2.16 
 710  2.18  1.13  2.16 
 711  1.97  0.94  2.18 
 712  1.56  1.43  2.18 
 713  0.76  1.09  2.18 
 714  1.21  2.66  2.18 
 715  0.79  1.24  2.18 
 716  0.99  2.61  2.18 
 717  1.33  1.05  2.18 
 718  1.01  1.02  2.18 
 719  1.59  1.38  2.18 
 720  1.24  1.74  2.18 
 721  1.50  1.81  2.18 
 722  0.88  0.89  2.18 
 723  1.11  0.93  2.18 
 724  1.67  2.50  2.18 
 725  1.59  2.38  2.18 
 726  1.42  1.63  2.18 
 727  1.62  1.08  2.18 
 728  0.81  3.52  2.18 
 729  1.22  1.79  2.18 
 730  1.25  1.01  2.18 
 731  0.88  1.39  2.18 
 732  1.54  1.05  2.18 
 733  1.32  1.46  2.18 
 734  0.72  1.16  2.18 
 735  0.93  1.47  2.18 
 736  1.50  0.70  2.18 
 737  0.86  0.78  2.18 
 738  1.25  2.80  2.18 
 739  1.86  1.42  2.18 
 740  1.90  1.22  2.18 
